Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination
Rated bullet game,https://lichess.org/cYfWYKuZ,2024.09.10,?,talmizrahi1,Almamaari,1-0,2024.09.10,18:37:59,1599,1613,+6,-6,Standard,60+0,C50,Normal
Rated bullet game,https://lichess.org/wB48iZgb,2024.09.10,?,Valentine_Nadler,talmizrahi1,0-1,2024.09.10,18:34:36,1585,1593,-5,+6,Standard,60+0,B54,Time forfeit
Rated bullet game,https://lichess.org/vPZ80D13,2024.09.10,?,talmizrahi1,alomerovic,1-0,2024.09.10,18:32:33,1588,1583,+5,-5,Standard,60+0,B40,Time forfeit
Rated bullet game,https://lichess.org/YI1COLnT,2024.09.10,?,ambitigambiti,talmizrahi1,0-1,2024.09.10,18:30:10,1553,1582,-5,+6,Standard,60+0,B22,Time forfeit
Rated bullet game,https://lichess.org/dmccFYHz,2024.09.10,?,Fjellrype,talmizrahi1,0-1,2024.09.10,18:27:57,1614,1576,-6,+6,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/DpkL49Kj,2024.09.10,?,talmizrahi1,DanielBenesch,0-1,2024.09.10,18:26:18,1582,1563,-6,+6,Standard,60+0,C50,Normal
Rated bullet game,https://lichess.org/sVIhXwRv,2024.09.10,?,Mezentsev_Alexander,talmizrahi1,0-1,2024.09.10,18:24:00,1512,1577,-5,+5,Standard,60+0,D00,Time forfeit
Rated bullet game,https://lichess.org/NZhkWvau,2024.09.10,?,talmizrahi1,BBQ_SOS,0-1,2024.09.10,18:21:50,1584,1550,-7,+6,Standard,60+0,B06,Time forfeit
Rated bullet game,https://lichess.org/nbZFtHSt,2024.09.10,?,talmizrahi1,NatureOfTheBuddha,0-1,2024.09.10,18:19:36,1588,1654,-4,+5,Standard,60+0,C41,Time forfeit
Rated bullet game,https://lichess.org/NZbwmLLc,2024.09.10,?,talmizrahi1,JoshGuessWho,0-1,2024.09.10,18:17:34,1594,1603,-6,+6,Standard,60+0,B10,Time forfeit
Rated bullet game,https://lichess.org/rON0PkTs,2024.09.10,?,sizyfos,talmizrahi1,0-1,2024.09.10,18:15:59,1521,1589,-6,+5,Standard,60+0,A01,Normal
Rated bullet game,https://lichess.org/1Q6eSXGF,2024.09.10,?,lo4,talmizrahi1,0-1,2024.09.10,15:20:05,1462,1585,-4,+4,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/odIAHm1P,2024.09.10,?,TessyO,talmizrahi1,0-1,2024.09.10,15:17:26,1565,1580,-6,+5,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/YCGIPysc,2024.09.10,?,talmizrahi1,wladamac,1-0,2024.09.10,15:15:04,1574,1600,+6,-6,Standard,60+0,C42,Time forfeit
Rated bullet game,https://lichess.org/WFCWXK34,2024.09.10,?,talmizrahi1,erkolacci,1-0,2024.09.10,12:38:14,1568,1572,+6,-6,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/9pjMFjOm,2024.09.10,?,dalmatia-adriatic,talmizrahi1,0-1,2024.09.10,12:35:57,1656,1560,-7,+8,Standard,60+0,D20,Time forfeit
Rated bullet game,https://lichess.org/x5fUBGnq,2024.09.10,?,Mr-Abb,talmizrahi1,0-1,2024.09.10,12:00:35,1570,1554,-6,+6,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/hxm9at0F,2024.09.10,?,talmizrahi1,J_Rodds,1-0,2024.09.10,11:58:08,1549,1531,+5,-5,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/dKfTPOSx,2024.09.10,?,talmizrahi1,TapTap-85,1/2-1/2,2024.09.10,11:55:43,1547,1646,+2,-2,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/CaRxGB0a,2024.09.10,?,Magnuschalsen2005,talmizrahi1,1-0,2024.09.10,11:53:29,1501,1554,+7,-7,Standard,60+0,A01,Time forfeit
Rated bullet game,https://lichess.org/FtlOevw7,2024.09.10,?,pablofretes,talmizrahi1,0-1,2024.09.10,11:48:39,1528,1548,-6,+6,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/BKZoIm6p,2024.09.10,?,talmizrahi1,Itsmesingh,1-0,2024.09.10,11:46:11,1542,1588,+6,-6,Standard,60+0,C00,Normal
Rated bullet game,https://lichess.org/Rc8JnOIK,2024.09.10,?,talmizrahi1,BS_Schach_AG,0-1,2024.09.10,11:43:17,1547,1601,-5,+5,Standard,60+0,C42,Normal
Rated bullet game,https://lichess.org/daIuC8Ko,2024.09.10,?,MajaZoja,talmizrahi1,1-0,2024.09.10,11:41:04,1569,1552,+5,-5,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/Y1KPdhLp,2024.09.10,?,sachinKhope,talmizrahi1,0-1,2024.09.10,11:24:41,1545,1546,-6,+6,Standard,60+0,B56,Time forfeit
Rated bullet game,https://lichess.org/3eacVvPJ,2024.09.10,?,Chillzi,talmizrahi1,0-1,2024.09.10,11:23:04,1486,1542,-15,+4,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/RtbYyRLy,2024.09.10,?,talmizrahi1,Abhinay_364,1-0,2024.09.10,10:28:44,1535,1578,+7,-6,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/WrorwAhI,2024.09.10,?,eidlom,talmizrahi1,0-1,2024.09.10,10:27:16,1529,1529,-5,+6,Standard,60+0,B22,Normal
